label|text|id_str|handle
0|RT @JuuliaOfficial: RT FOR GOOD LUCK AT YOUR NEXT CONCERT ✨ https://t.co/abSztVyyy7|tw994710605184585729|@itsdanii7
1|RT @WoodySee: woke up ✅   ated a poptart  ✅  hit my dad’s juul ✅  kissed my 2003 Honda Accord ✅  alright back to sleep 😴|tw991375921079701504|@MehLlamoLlama
1|RT @heymikiurs0fine: Get u a man that plugs ur juul in for u when u fall asleep &lt;3|tw991790292264157186|@carsonnnlee
0|@anna0jacqueline It's your birthday now haha happy birthday 🎊🎊 https://t.co/wGjUULclCX|tw1006950878916440065|@InoueOKaito
1|RT @richbrian: when i die i will reincarnate as a juul pod|tw997414180540989440|@nnicolesunn
1|RT @madmaciolek: imagine having a nicotine addiction from a juul u bought just to fit in|tw1016122315145240577|@hjade95
1|Try this: Whenever they say jewel in the new Jumanji movie think of a Juul instead  Laughs every time|tw1016885802880716800|@Mister_Stacey
1|I haven't touched the juul ever since my aunt told me about popcorn lung|tw995587281435017216|@brookelovesicey
1|Single Juul pods goin for 7 bucks. What a steal..|tw1035980698170089472|@tony_redbear
0|Mood https://t.co/FQr3fhRvmO|tw1018470822904782848|@FangirlMarina_
1|RT @charliemills__: Our parents generation had morning coffee and the newspaper, our generation has twitter and morning Juul rips.|tw1019326701422161920|@cassietirotta
1|RT @HUNTYCHAN: WHY DID MY PARENTS LET ME ON THE INTERNET ALONE WHEN I WAS 8!!!!!! they broke me i didn't have to be like this.. i could be…|tw996261534018949120|@Cutehxseok
1|RT @elijahdaniel: we really thought we’d have flying cars and shit by 2018 but instead we got every instagram girl selling feet pics for ju…|tw1013882447958827010|@Purestofme
1|RT @GOOKCITY: Did u Juul wit another bitch yes or no|tw996058085021102081|@hayleyyporcaro
1|RT @mineifiwildout: elon musk could never https://t.co/y803HoRTP5|tw1011816050139258886|@GRINCHVANESSA
1|RT @zacharski_zack: Give me the:  🔘 AUX  🔘 Charger  🔘JUUL  ☑️ BEAT BOYS AND FREE MY SOUL, I WANNA GET LOST IN YOUR ROCK AND ROLL AND DRIFT…|tw1020084737363398656|@reaganmrobinson
1|RT @shabbafox: It’s called nicotine https://t.co/CDlntWWefr|tw1030212326039924738|@GaryDos22
1|RT @SarahKannenberg: accidentally juuled in front of my mom but she only saw the smoke and goes “what was that” so i immediately said ”oh m…|tw1008173924713095169|@biancaabgb
1|RT @GarhettSikes: Juul season is over meth is cool now|tw1025592721669533696|@ScottyHaas
1|@dopedupmalik yes!! I believe twice about the juul bullshit, and a few times about everything he’s doing that’s pissing me off|tw1040819640446984194|@njhxgucci
1|RT @Wes10: juuling is not a choice like being deaf or blind|tw992977324025917441|@regina_gagina
1|RT @SarahKannenberg: accidentally juuled in front of my mom but she only saw the smoke and goes “what was that” so i immediately said ”oh m…|tw1008202461402677249|@Zack0sborn
0|@whisper8272  RT Pic @oliviercoat https://t.co/1NEpjuUlyB|tw1005867056871411713|@sylvie_lengjel
0|What Today's Sellers Want https://t.co/jERbyo87lt https://t.co/JUulEPAJUi|tw1024304585324879872|@stevesalvator5
0|I liked a @YouTube video https://t.co/j2mB7hDCaF Damian Wayne (Son of Batman , Robin) - Origins|tw998622876432568321|@JhonyCurcic
1|RT @HUNTYCHAN: WHY DID MY PARENTS LET ME ON THE INTERNET ALONE WHEN I WAS 8!!!!!! they broke me i didn't have to be like this.. i could be…|tw996131700412436481|@ilybedphyfer
1|i juuled too hard now i cant stand|tw1005168427969859584|@eczemaria
1|RT @FlashStriker: It’s August. Finish that book. Kiss that girl. Buy that fit. Hit that Juul. Milly that rock. Hell is approaching.|tw1026077167795548160|@WTF_ADHD
1|At the local starbucks surrounded by multiple ~12 y/o being sold juul pods by a ~16 y/o and I am so thankful to be a ~24 y/o|tw1024455369903538177|@gossipdever
1|RT @Will__NE: are juuls 2018's fidget spinners|tw1037748412471377920|@nxbxdy_x
1|RT @stephgarciaaaa: Juuls are the lamest fucking things on the planet https://t.co/oAz34oS96o|tw1002017309194706944|@teddy_bearrrl
1|RT @tobaccofreefla: Youth electronic cigarette use has been declared an epidemic. The popularity of JUUL among youth is a cause for concern…|tw1045100705852338176|@Milagro07779035
1|RT @richbrian: when i die i will reincarnate as a juul pod|tw997476540031164424|@UtterableOrb1
1|RT @MetroTrashin: Big Bird done hit the JUUL to many times https://t.co/HK3FeuBlPT|tw1009828793068998656|@NAYY_TEN
1|RT @karmahxo: Jade has one XO player come to them to join and then they be talm bout *takes hit of juul* “Yeah were gonna fucking destroy X…|tw1023691411970039809|@LucidDrippy
1|RT @hooliajulia17: Juuls are stupid  Quit smoking flashdrives you fuckin weirdos https://t.co/AYJzWQndSY|tw1002361683489144832|@ciaraserpa
1|RT @mineifiwildout: elon musk could never https://t.co/y803HoRTP5|tw1011775683813470208|@cbana13
0|@jprterp @ScottTh66153768 I’d like to see Mete and Juulsen should spend a year in Laval to play together. Expose th… https://t.co/bEwfLc3Kgd|tw1014579067318951936|@cmac1978
1|RT @Julian_Epp: A cigarette is just an acoustic juul|tw1011885428062982144|@morganghoulgal
1|RT @joania_: Cults in FL: -Juul kids -Disney annual pass holders -SoundCloud rappers -Girl’s soccer teams -Boys with watches who think they…|tw1015982590430515203|@trinity_delaney
0|@blindkiwis @SONYAXPOSED @talkfastashton @lukesjuul @SociallyHowell @softblondeluke @thesensationcth… https://t.co/Bl6oaOryU1|tw1003663660055658497|@fivesosjustin
1|RT @MollyGriger: I hit my juul driving and this guy next to me had the biggest smile on his face and held up his juul and screamed JUUL GAN…|tw1021770161160900615|@haayther
1|RT @Zach21400: I’m sorry is ferb building A JUUL POD https://t.co/kioKlRMhBP|tw1017990327020457985|@ahntk
1|@SpaghettiPlug you’re of a more advanced species than me obviously, cuz i cough from hitting a juul. but i smoke ba… https://t.co/0xQsuROXGB|tw1039902510327070721|@CXMXNXY
1|RT @SarahKannenberg: accidentally juuled in front of my mom but she only saw the smoke and goes “what was that” so i immediately said ”oh m…|tw1008100682824642562|@emilylizabeth2
1|I got the Juul charged! Lol closes thing I have rn.😂 https://t.co/SK59lhUFhe|tw1014440481751740416|@music4life2018
1|RT @YaBitchHaley: happy 24th of JUULy https://t.co/4J4ybhde9i|tw1022375491964026880|@YaBitchHaley
1|RT @WVUBarstool: Be careful who you’re passing the juul to. https://t.co/GWbsRj5tYp|tw1031200892991807490|@AustinAllison7
1|RT @ginapple_: kinda comforting to know that there’s a juul lost somewhere in my front yard tbh it feels like it’s protecting us in some wa…|tw1024384048762945546|@graciebnorris
1|RT @SarahKannenberg: accidentally juuled in front of my mom but she only saw the smoke and goes “what was that” so i immediately said ”oh m…|tw1008149045599244289|@_ellie25
1|@TheRealCwoww Get some Juul in ya and it’s a wrap|tw1019680094305030144|@IamRithy
1|I lost my juul the other day, so I asked my mother who doesn’t use hers if I can take hers to work and she said “ye… https://t.co/A4o6Jmv9Ct|tw1014009073530998784|@themalloy99
1|RT @asapmackenzie: Haley is driving a good 20 over the speed limit, juuling, taking bomb selfies and checking herself out in the mirror. 6/…|tw1035351397212938240|@Holliwhite44
1|RT @YahBoyCourage: who you think the first mf to juul on mars gonna be|tw994428214960381952|@Diagnostiks
1|RT @Isaac_DeTemple: Can I hit your juul cmon dood juth one hit pleath bro I swear I’ll cathapp you later https://t.co/2Q2FpFElyz|tw1032358967702241286|@eli__brim
1|vernon is NOT jobless. stop saying he’s jobless. just yesterday i saw him juuling in the zumies break room. he is EMPLOYED!|tw1028351901916647424|@hyunjinkies
1|RT @AADaggy: I love those dummies that got a Juul just to feel like they fit in when they’ve never had nicotine addiction in the first plac…|tw1032620195729301504|@cheykh_
1|Imagine liking someone and finding out they have a supreme x Louis Vuitton Juul wrap|tw992266332052774912|@ariannahiler
1|RT @xMangojuice: smoking crack is just juuling coke|tw1028228757193207809|@YourTypicalNerd
1|Every time i wanna stop juuling https://t.co/fYPkwc1wRB|tw1006705648493563904|@_jordanhosking
1|RT @mineifiwildout: bumping this new russ in the jeep god i hope my fuckin juul doesn't die before baseball practice|tw994328508842348544|@jeannaghirghi
1|RT @Oshibubba: I like: wine, lazy time, beer, bacon, wings, potatoes, classic rock, the lumineers, not exercising, and smoking my juul. DO…|tw1033799490170433536|@payt__808
1|RT @shabbafox: It’s called nicotine https://t.co/CDlntWWefr|tw1030053341844447232|@Avoc_City
1|Sorry the Suorin @justuusss https://t.co/ssUfaCm0TB|tw1018197982280204288|@SethGaston_
1|#vapingsaveslives #ivapeivote This just in..: Juul: the highly addictive vape pen taking over American schools… https://t.co/n0iFnYX9Vw|tw1023459399489277952|@vapechannel
1|RT @codyko: cigarettes are the best way to quit juuling|tw1046245388443951105|@spunkyrea
1|if i don’t start feeling anything from this juul i want a refund|tw1019790788476235776|@offsivk
1|Haters tryna slander me cause I got my juul pregnant|tw1040315916863496192|@matttsuxxx
1|RT @TrashyeWest: Bruh Cookie Monster off 7 percs https://t.co/Re09sKG1BN|tw1009599347145826311|@g0000dvibess
1|RT @g0fuckthyself: bromeo can i hit your juuliet|tw1044065992253550592|@StowLyric
1|RT @animepapi420: 📂 My Pockets   └📁Wheres my juul       └📁 Fuck seriously where is my juul           └📁 Guys did u steal my juul…|tw1000991271035527168|@theziakresha
1|RT @g0fuckthyself: bromeo can i hit your juuliet|tw1044952391571845120|@kenniisapenguin
1|RT @marwannafuq: Nah the dumbest thing you can do is juul when you weren't even addicted to nicotine in the first place https://t.co/1R0HxW…|tw1027264208864505856|@TysonMurphyyy
0|RT @seanhannity: BOOM. https://t.co/KJUulD8MUK|tw1034140532325457920|@ItsReallyMeKW
1|Everytime I see a #juul in the wild, a demon gets its wings. https://t.co/7WxvLPFxtL|tw1040337728985079808|@thewriterflo
1|RT @AddieNigh: when someone loses their juul at a party https://t.co/yOYUlVlvKV|tw1029422337790291969|@kywahl
1|RT @animepapi420: 📂 My Pockets   └📁Wheres my juul       └📁 Fuck seriously where is my juul           └📁 Guys did u steal my juul…|tw1001226623511916544|@ayysydnayyy
1|Juul plans to release lower-nicotine vape juice starting in August - The Verge https://t.co/UaOc2YbVS1 https://t.co/O7VUgaL93g|tw1017550441687801862|@PaleoDietxxx
1|RT @MikeSchroederIN: Many teens are picking up a risky (and hard to detect) habit: #vaping #juul @DoctorNatasha on what #parents should loo…|tw1023172982242304001|@JaniceBakerRD
1|RT @akfarina_: so this white boy was charging his Juul in my 11 am writing class. Our professor then gave us a writing warm up: Choose one…|tw1035928909194321920|@humgymnast
1|RT @SarahKannenberg: accidentally juuled in front of my mom but she only saw the smoke and goes “what was that” so i immediately said ”oh m…|tw1008210213730566145|@Anisha_page28
1|RT @HUNTYCHAN: WHY DID MY PARENTS LET ME ON THE INTERNET ALONE WHEN I WAS 8!!!!!! they broke me i didn't have to be like this.. i could be…|tw996392879101689856|@sadmulatto
0|@juulerjack @silkyseavey @ImZachHerron @jackaverymusic @SeaveyDaniel @JonahMarais @corbynbesson @whydontwemusic mood|tw1038583749619924992|@niyacolon
1|RT @alxsatrum: Not being addicted to nicotine😍 https://t.co/lJa0Wsmz3M|tw1040074117599428608|@jasminebri_anna
1|RT @FlashStriker: It’s August. Finish that book. Kiss that girl. Buy that fit. Hit that Juul. Milly that rock. Hell is approaching.|tw1026351064117927936|@kathleennleitee
1|RT @laurengodbey: fun things to do in TX:   -wait in traffic bc of construction  -become a drug dealer  -tell ppl that live out of tx that…|tw1006686326467461122|@kimberlyg449
1|RT @yungmasala_: why did this photo just down 4 Smirnoffs, cough after hitting a juul once, and tell me to “go back to yer country if you h…|tw1042617265714352129|@ktelizabethh143
1|RT @zacharski_zack: Give me the:  🔘 AUX  🔘 Charger  🔘JUUL  ☑️ BEAT BOYS AND FREE MY SOUL, I WANNA GET LOST IN YOUR ROCK AND ROLL AND DRIFT…|tw1020201481201303553|@LonelyTwizzler
1|RT @Amplecig: Real Shot on Mace-X Tank. #amplevape #vape #macex #ecig #vapor #vaping #subohm #vapelove #vapelyfe #vapeporn #vapeshow #vaped…|tw1039202593728356352|@light52600717
1|RT @uggiehuffman: my wife took the kids and the juul|tw1007669029635543040|@minodus
0|RT @_Tbreezie: this is the arizona i know and love. https://t.co/EpFOJHNX7r|tw1007978648626921472|@dayzgis
0|RT @JUULINGJESUS: locals are gonna critique and make fun of couture because they think that their macy's prom dress is the pinnacle of high…|tw993668715538538496|@sabrina_1499
1|RT @aboutchintan: The fact that United States almost...ALMOST beat underage smoking/nicotine addiction and then y’all dumbasses started “JU…|tw1030425905980743681|@amber122014
0|RT @kgo2017: @weldnaway @BigAL562 @ABAServes @CNS15141 @jimbo_always @MrsGoodoz @DulinKaren @BardomianoOrte2 @mcgregorgirl1 @wink_nod @Bear…|tw1043345352215220224|@003a04f8c2054b7
1|RT @kobychill: me:   teen with a nicotine addiction: yeah so juuls are actually safe for ur body|tw1017811022994911232|@hayschaeffer
1|RT @ABlannar: A juul compared to a cigarette is like diet cancer lol|tw1020048326203510790|@SVarebrook
1|RT @whosalex: ill never understand why people FLEX juuls|tw1029053795635011584|@HannaMaeeee
1|RT @packie_jortillo: wtf is a juul lmfaooooo bitch if you don’t smoke a blunt|tw1027954002225446912|@_ODSY_
1|RT @_Kahlii: Fav if you’ve ever hit the wrong end of your juul|tw1035604117195055104|@omarghoul13
1|RT @barstoolsports: The FDA is threatening to take Juuls off the market because every teenager is sucking 'em down https://t.co/c0FW4nw0XV…|tw1040331781700935680|@NotoriousNunez
0|RT @grlwhocriedjuul: if you don’t vaccinate your child i’m legally allowed to yeet it if it gets near me|tw1010940474578886656|@__friedrice
0|RT @joe_chesterman: RT if u wish ur name was Juul|tw995766165548003333|@alexhakes
1|RT @elijahdaniel: in one months time the entirety of la white bitches went from “who has coke” to “who has a juul???”|tw1014747960632983552|@PastelNoobb
1|Juul is the new fidget spinner|tw1013112756655058944|@michael_nakon
1|RT @taylorpaigeeee_: Sis how you gonna let a boy with a nicotine addiction from his juul hurt your feelings|tw1010999535328550914|@joshmoore9987
1|RT @_abshea: the internet told me to drink a shit ton of water for my health so i just drank 13 bottles of 16oz in 4 hours and not only hav…|tw1004820955879706624|@Sydneyyco
1|Don’t HMU if you smoke a juul you’re just as lame as a crack head|tw1006045093583781889|@Rotting_Out
1|RT @bigstauss: ways to ask for someone's juul  - yo can i hit that? - can i choke that? -can i lick that -can i slide  -lemme slide -taste…|tw1006480763527876609|@JoshtJax
1|RT @alxsatrum: Not being addicted to nicotine😍 https://t.co/lJa0Wsmz3M|tw1038533986275000320|@youngdumblame
1|RT @OldRowGunsUp: Everyone to go help Red Raider @laiven_wells with her fight with leukemia, donate all you can, you can live without JUUL…|tw1036424295088615424|@G_W_Lenz
0|RT @marsjuul: the best video i ever recorded omg i was in san francisco and this random couple was acting like they were in a fucking indie…|tw1034019066602823681|@chachdrmz
1|Juul tightens up social media to focus on former smokers switching to e-cigs https://t.co/R15EivOVFF|tw1007298388520587265|@internettip360
0|RT @yungstraw: daughter: mom why is my friend named rose? me: because her mom loves roses daughter: then why am i named- me: be quiet Cool…|tw994631509578600449|@_josiemattlin
1|RT @richbrian: when i die i will reincarnate as a juul pod|tw997519730662629377|@C_Dunn_NS
1|RT @ChampagneAnyone: the first thing thomas edison did after he invented electricity was plug his juul in|tw1017920949117767680|@gascoigneheath
0|thank you my honey 💜💜 i love you sooooo much https://t.co/xM8JUulRog|tw991717979757854720|@vlessiashope
1|RT @BRANDONWARDELL: this dude just hit a weed vape and a juul at the same time and called it a “silicon valley spliff” oh my god|tw1017701233468076032|@ohwordbreh
1|RT @akfarina_: so this white boy was charging his Juul in my 11 am writing class. Our professor then gave us a writing warm up: Choose one…|tw1036490683908059136|@richieflemming
1|RT @taylorpaigeeee_: Sis how you gonna let a boy with a nicotine addiction from his juul hurt your feelings|tw1011752495637463041|@_solyplaya
1|my friend is having an anxiety attack over buying juul pods|tw1028372474604539904|@hayeskjei
1|RT @savtwopointoh: “idk why i’m sooOo shakey this morning” -me double fisting my juul and an iced coffee at 7 am|tw1034688095223009280|@ColePastaa
1|RT @kobychill: me:   teen with a nicotine addiction: yeah so juuls are actually safe for ur body|tw1017831245898813446|@nothatisnotmine
1|RT @aboutchintan: The fact that United States almost...ALMOST beat underage smoking/nicotine addiction and then y’all dumbasses started “JU…|tw1030313818923122688|@BraxtonBee
1|my brother dropped his phone in the crack of doom in my car &amp; I dropped my juul.... who’s situation is worse?!|tw1012509712582094848|@abankz_
1|Ladies, imagine this: You’re about to graduate so you take a beach trip with all your friends. You realize boys are… https://t.co/b6vSIpLRLg|tw1000744300005744640|@chevonne_hasell
1|RT @hooliajulia17: Juuls are stupid  Quit smoking flashdrives you fuckin weirdos https://t.co/AYJzWQndSY|tw1002408295804440577|@ericaaleung
1|I don’t even have a juul|tw1029224555359940609|@danyelleannett2
0|RT @SmokeinEyes_V: 180920 LOVE YOURSELF in HAMILTON  #태형 #뷔 #V #BTS⁠ ⁠⁠#방탄소년단 @BTS_twt https://t.co/CujP6xjUUL|tw1043056258389929984|@FF0cus_
1|@JUULvapor saved my life|tw1020135927459373057|@srslysorrymom
0|RT @willfriedle: It’s not “BLTP”! C’mon people!!! https://t.co/CXw6gRIa7m|tw1032735142563991557|@SimplyShelbs16
1|Someone bring ya boy a juul pod 😓|tw1039344658009272320|@whoisjoshhelton
0|@MspJuul Beautiful!|tw1008577687441543170|@CutieMonz
1|Commissioner Gottlieb:“These products are being marketed both in violation of the law and outside of the FDA’s anno… https://t.co/XwNl7zTaw2|tw1027270712275423235|@BreatheEasyHoCo
1|RT @shabbafox: It’s called nicotine https://t.co/CDlntWWefr|tw1030277835913613312|@lexiiibrianna
1|RT @gracevh3: when ur Juulin and coughin 😈 and ur mom asks if u need Tylenol or cough drops😈|tw1023439979756879872|@gokartyellow
1|RT @alxsatrum: Not being addicted to nicotine😍 https://t.co/lJa0Wsmz3M|tw1039597611622326272|@iiDeadstar
0|RT @justjuuliette: I just threw up in my mouth a little https://t.co/1nalEEc4Bb|tw1013042031864762368|@justthrewup
1|RT @SarahKannenberg: accidentally juuled in front of my mom but she only saw the smoke and goes “what was that” so i immediately said ”oh m…|tw1008181361348435968|@amarie_1214
1|RT @_kelsiehoward: My lungs hurt. I should probably stop hitting my juul 294 times a day|tw996123734997073921|@sabrinaakeenan
1|RT @Isaac_DeTemple: Can I hit your juul cmon dood juth one hit pleath bro I swear I’ll cathapp you later https://t.co/2Q2FpFElyz|tw1032461077395787776|@_andre24_
0|A documented itinerary of Peter Castro’s daily routine https://t.co/y3Qe29Gcaz|tw1000872655057244161|@WattNoah
0|The qualifying test for wildland firefighting is called the 'pack test,' measuring work capacity. Hike 3 miles unde… https://t.co/6CK60QxRx1|tw1033772676937129985|@allouitiously
1|RT @mineifiwildout: bumping this new russ in the jeep god i hope my fuckin juul doesn't die before baseball practice|tw995441856937938945|@LoseerTeen
1|RT @Parker_L007: Bro you better dummy chill if you think you can step on my new balances AND tag my juul.|tw1027382333853368320|@bellostefan3
0|RT @jo5h: @crownjuul @editingemily It’s not that surprising, Historians date everything.|tw1006739282738929664|@leebugslife
1|RT @mineifiwildout: bumping this new russ in the jeep god i hope my fuckin juul doesn't die before baseball practice|tw995056337884102656|@madcook00
1|RT @kobychill: me:   teen with a nicotine addiction: yeah so juuls are actually safe for ur body|tw1017837128061997061|@youthistrxye
1|Whoever has my juul at FIU ur welcome for a brand new mango pod but it fell in the toilet not too long ago and is handicapped 😌|tw1035572052974026753|@notvicmar
1|RT @robbiexrozay: son they all built like juul’s https://t.co/824wsuD9Ws|tw1000928889009573889|@Turbo_bby
1|Yeah juuls are cool until yo dumb ass gets addicted to nicotine and wonder why you feel like shit without it 🌚|tw1004385510637240320|@yonkerskid12
0|RT @seanhannity: BOOM. https://t.co/KJUulD8MUK|tw1034133266062864385|@1123amyd
1|RT @marcelinesteel: y’all smoking juuls in high school cos it’s trendy but think it’s gross to smoke cigarettes plot twist bitch u have a n…|tw1003156771219730432|@ShelleyEvangeli
1|RT @_abshea: the internet told me to drink a shit ton of water for my health so i just drank 13 bottles of 16oz in 4 hours and not only hav…|tw1004486622413508608|@lupeem2
0|RT @RiiTalks: My poor #Jenshad heart😩♥️💕 #Bepannaah #Bepannaahlove #AdiYa https://t.co/T2jUuLZ44q|tw998586336557678592|@Ridhhie
1|RT @akfarina_: so this white boy was charging his Juul in my 11 am writing class. Our professor then gave us a writing warm up: Choose one…|tw1035932343691825158|@KasieeMarie
1|RT @aboutriles: Juuls are for people that pay $20 a gram|tw1044963213752897536|@JordannnAndrews
1|RT @jackimissyou: Juul: ripped  Shirt: off Sound: Cloud  Heart: broken Yee: haw|tw1021231088742600705|@ZaysaceBeats
1|Silicon Valley e-cig startup Juul 'threw a really great party' to launch its devices, which experts say deliberatel… https://t.co/1sqPYHy2so|tw1037027025507307521|@setforwork
1|RT @jennifermerr: do you guys think the big houses will hand out juuls for halloween this year|tw1036641323330285569|@fck_maddie
1|RT @ChrisKlemens: Just wondering when everyone will stop fucking juuling wbu?|tw1040405814073352195|@im_warningyou
1|RT @aboutchintan: The fact that United States almost...ALMOST beat underage smoking/nicotine addiction and then y’all dumbasses started “JU…|tw1030335775097806849|@_theRoach
1|RT @blacksheep_bsu: Cults you didn't know were cults:  -Theatre majors  -Nursing students   -Girls who wear Adidas Superstars  -Anyone with…|tw1014693558769549312|@MalikeyD
0|RT @mkasumovic: Hey #teachers and #lecturers, we're trying to make useful tools for #STEM education, could you answer these three questions…|tw1012252857456709632|@JDorozenko
1|The Truth campaign took down teen smoking. Now it's going after JUUL. https://t.co/036TtdQ9uH vía @mashable|tw1029493679797542914|@CEPAAD_2017
1|RT @akfarina_: so this white boy was charging his Juul in my 11 am writing class. Our professor then gave us a writing warm up: Choose one…|tw1035948486062092289|@EMayasich
1|RT @animepapi420: 📂 My Pockets   └📁Wheres my juul       └📁 Fuck seriously where is my juul           └📁 Guys did u steal my juul…|tw1000772606465847297|@palmbitchh
1|RT @matthewgray513: I just fucking dropped my juul in a toilet🤯|tw999041859665084417|@shelby_huber99
1|RT @codyko: cigarettes are the best way to quit juuling|tw1045890011269259265|@Q39127076
0|RT @WAFB: NEW: Officials have released the mugshot of Stephen Daigle, 47, of Gonzales. He was weaving in and out of traffic on I-10 West in…|tw993656534289838081|@tyese_givens
1|RT @Gabb_wbu: HAPPY BDAY TO MY ALMOST BDAY TWIN 🎊💗Love you so much Danny 💗I’m so glad we got close and so  blessed to have you as a best fr…|tw1005257545945112582|@DannyTyler28
1|RT @abbeyswan35: Fun things to do in Pa:  -go to sheetz -drink somewhere in the woods -go to sheetz -hit your juul -go to sheetz -go to loc…|tw1006645127870320640|@lexi_behrens
1|RT @HUNTYCHAN: WHY DID MY PARENTS LET ME ON THE INTERNET ALONE WHEN I WAS 8!!!!!! they broke me i didn't have to be like this.. i could be…|tw996352445902217217|@amelyy__
